-0.5881 0.0000 
-0.5876 0.0077 
-0.5860 0.0152 
-0.5833 0.0224 
-0.5797 0.0291 
-0.5752 0.0352 
-0.5699 0.0405 
-0.5640 0.0449 
-0.5576 0.0483 
-0.5508 0.0508 
-0.5439 0.0521 
-0.5369 0.0523 
-0.5302 0.0515 
-0.5237 0.0496 
-0.5178 0.0467 
-0.5124 0.0430 
-0.5079 0.0384 
-0.5042 0.0332 
-0.5015 0.0275 
-0.4999 0.0215 
-0.4993 0.0153 
-0.4999 0.0090 
-0.5015 0.0029 
-0.5042 -0.0028 
-0.5079 -0.0081 
-0.5125 -0.0127 
-0.5179 -0.0166 
-0.5240 -0.0196 
-0.5306 -0.0215 
-0.5375 -0.0225 
-0.5447 -0.0223 
-0.5519 -0.0210 
-0.5589 -0.0186 
-0.5656 -0.0151 
-0.5718 -0.0106 
-0.5774 -0.0052 
-0.5822 0.0011 
-0.5860 0.0080 
-0.5889 0.0155 
-0.5908 0.0233 
-0.5915 0.0314 
-0.5910 0.0395 
-0.5894 0.0475 
-0.5867 0.0551 
-0.5830 0.0623 
-0.5783 0.0688 
-0.5728 0.0745 
-0.5665 0.0793 
-0.5597 0.0831 
-0.5525 0.0858 
-0.5450 0.0874 
-0.5375 0.0878 
-0.5301 0.0870 
-0.5231 0.0850 
-0.5165 0.0820 
-0.5106 0.0780 
-0.5054 0.0731 
-0.5012 0.0675 
-0.4981 0.0612 
-0.4960 0.0546 
-0.4952 0.0476 
-0.4955 0.0406 
-0.4971 0.0337 
-0.4998 0.0271 
-0.5037 0.0210 
-0.5086 0.0155 
-0.5145 0.0108 
-0.5211 0.0071 
-0.5284 0.0045 
-0.5362 0.0030 
-0.5442 0.0027 
-0.5524 0.0036 
-0.5604 0.0059 
-0.5682 0.0093 
-0.5755 0.0139 
-0.5822 0.0196 
-0.5880 0.0263 
-0.5929 0.0339 
-0.5967 0.0421 
-0.5993 0.0509 
-0.6007 0.0600 
-0.6008 0.0692 
-0.5996 0.0784 
-0.5971 0.0873 
-0.5933 0.0958 
-0.5884 0.1036 
-0.5825 0.1106 
-0.5756 0.1166 
-0.5681 0.1215 
-0.5599 0.1252 
-0.5513 0.1276 
-0.5426 0.1287 
-0.5339 0.1284 
-0.5254 0.1268 
-0.5174 0.1238 
